timestamp,user,source_ip,action,status,reason
2026-01-25 08:30:26,dbadmin,192.168.1.101,data_transfer,success,"Large data transfer (43,059,070 bytes)"
2026-01-25 00:25:26,dbadmin,10.0.0.51,admin_access,success,Access during unusual hours (night); High privilege access; Sensitive action: admin_access
2026-01-24 17:19:26,root,22.166.99.237,login_failed,failed,High failed login attempts (20); Failed operation
2026-01-26 01:54:26,administrator,89.180.241.200,login_failed,failed,High failed login attempts (15); Access during unusual hours (night); Failed operation
2026-01-23 14:32:26,unknown,248.108.115.103,login_failed,failed,High failed login attempts (46); Failed operation
2026-01-26 03:29:26,unknown,147.148.100.163,login_failed,failed,High failed login attempts (36); Access during unusual hours (night); Failed operation
2026-01-27 01:54:26,administrator,197.117.221.167,login_failed,failed,High failed login attempts (38); Access during unusual hours (night); Failed operation
2026-01-24 01:25:26,webadmin,10.0.0.50,user_create,success,Access during unusual hours (night); High privilege access
2026-01-26 01:27:26,webadmin,192.168.1.101,data_transfer,success,"Large data transfer (84,007,274 bytes); Access during unusual hours (night)"
2026-01-22 02:02:26,root,238.108.4.93,login_failed,failed,High failed login attempts (27); Access during unusual hours (night); Failed operation
2026-01-24 03:25:26,admin,10.0.0.50,config_change,success,Access during unusual hours (night); High privilege access; Sensitive action: config_change
2026-01-26 05:21:26,unknown,30.11.220.108,login_failed,failed,High failed login attempts (16); Access during unusual hours (night); Failed operation
2026-01-25 16:30:26,unknown,17.17.246.90,login_failed,failed,High failed login attempts (17); Failed operation
2026-01-27 01:53:26,administrator,81.240.78.173,login_failed,failed,High failed login attempts (10); Access during unusual hours (night); Failed operation
2026-01-22 12:29:26,administrator,31.3.246.136,login_failed,failed,High failed login attempts (28); Failed operation
2026-01-27 07:20:26,root,122.133.70.113,login_failed,failed,High failed login attempts (47); Failed operation
2026-01-22 14:23:26,administrator,84.140.215.132,login_failed,failed,High failed login attempts (27); Failed operation
2026-01-25 13:28:26,user1,10.0.0.50,data_transfer,success,"Large data transfer (34,467,331 bytes)"
2026-01-21 01:28:26,unknown,216.119.142.237,login_failed,failed,High failed login attempts (29); Access during unusual hours (night); Failed operation
2026-01-24 03:25:26,dbadmin,10.0.0.50,user_create,success,Access during unusual hours (night); High privilege access
2026-01-25 00:25:26,user1,10.0.0.51,user_create,success,Access during unusual hours (night); High privilege access
2026-01-26 14:50:26,administrator,110.180.207.46,login_failed,failed,High failed login attempts (29); Failed operation
2026-01-25 06:50:26,root,125.145.71.107,login_failed,failed,Failed operation
2026-01-22 03:58:26,dbadmin,10.0.0.51,data_transfer,success,"Large data transfer (72,648,941 bytes); Access during unusual hours (night)"
2026-01-26 19:00:26,user1,192.168.1.100,data_transfer,success,"Large data transfer (60,433,542 bytes)"
2026-01-24 04:20:26,user2,192.168.1.101,data_transfer,success,"Large data transfer (34,090,583 bytes); Access during unusual hours (night)"
2026-01-26 22:56:26,user2,192.168.1.101,data_transfer,success,"Large data transfer (85,616,014 bytes)"
2026-01-26 08:22:26,user2,192.168.1.100,data_transfer,success,"Large data transfer (65,436,107 bytes)"
2026-01-25 01:25:26,dbadmin,192.168.1.101,config_change,success,Access during unusual hours (night); High privilege access; Sensitive action: config_change
2026-01-27 09:15:26,admin,192.168.1.101,data_transfer,success,"Large data transfer (92,556,904 bytes)"
2026-01-22 14:27:26,root,198.58.128.142,login_failed,failed,High failed login attempts (41); Failed operation
2026-01-25 23:25:26,dbadmin,192.168.1.100,config_change,success,High privilege access; Sensitive action: config_change
2026-01-21 05:26:26,webadmin,192.168.1.101,data_transfer,success,"Large data transfer (83,498,554 bytes); Access during unusual hours (night)"
2026-01-23 03:22:26,unknown,43.145.96.132,login_failed,failed,High failed login attempts (8); Access during unusual hours (night); Failed operation
2026-01-23 17:11:26,administrator,205.123.200.191,login_failed,failed,High failed login attempts (32); Failed operation
2026-01-27 14:28:26,root,249.14.206.13,login_failed,failed,High failed login attempts (11); Failed operation
2026-01-26 15:25:26,user2,10.0.0.50,data_transfer,success,"Large data transfer (57,484,197 bytes)"
2026-01-24 01:25:26,webadmin,10.0.0.51,config_change,success,Access during unusual hours (night); High privilege access; Sensitive action: config_change
2026-01-22 03:04:26,unknown,162.247.31.52,login_failed,failed,High failed login attempts (29); Access during unusual hours (night); Failed operation
2026-01-21 18:11:26,root,181.44.26.175,login_failed,failed,High failed login attempts (38); Failed operation
2026-01-26 11:29:26,unknown,217.162.26.47,login_failed,failed,High failed login attempts (9); Failed operation
2026-01-23 20:57:26,dbadmin,192.168.1.102,data_transfer,success,"Large data transfer (60,394,662 bytes)"
2026-01-26 13:59:26,webadmin,192.168.1.102,data_transfer,success,"Large data transfer (73,539,547 bytes)"
2026-01-24 23:25:26,user1,192.168.1.101,config_change,success,High privilege access; Sensitive action: config_change
2026-01-25 03:44:26,user1,10.0.0.50,privilege_escalation,success,Access during unusual hours (night); High privilege access; Sensitive action: privilege_escalation
2026-01-25 00:56:26,user2,10.0.0.51,privilege_escalation,success,Access during unusual hours (night); High privilege access; Sensitive action: privilege_escalation
2026-01-22 08:38:26,administrator,146.15.168.122,login_failed,failed,High failed login attempts (36); Failed operation
2026-01-26 00:25:26,webadmin,192.168.1.101,user_create,success,Access during unusual hours (night); High privilege access
2026-01-26 20:09:26,user1,192.168.1.100,data_transfer,success,"Large data transfer (71,086,560 bytes)"
2026-01-22 00:04:26,admin,10.0.0.50,data_transfer,success,"Large data transfer (56,016,582 bytes); Access during unusual hours (night)"
2026-01-24 02:41:26,user2,10.0.0.50,privilege_escalation,success,Access during unusual hours (night); High privilege access; Sensitive action: privilege_escalation
2026-01-25 02:04:26,user2,192.168.1.102,privilege_escalation,success,Access during unusual hours (night); High privilege access; Sensitive action: privilege_escalation
2026-01-26 06:46:26,root,212.150.112.247,login_failed,failed,High failed login attempts (15); Failed operation
2026-01-25 06:41:26,user1,10.0.0.50,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-25 15:17:26,user2,192.168.1.100,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-26 11:47:26,root,195.186.27.208,login_failed,failed,High failed login attempts (19); Failed operation
2026-01-27 19:28:26,unknown,112.129.246.89,login_failed,failed,High failed login attempts (6); Failed operation
2026-01-21 14:37:26,unknown,234.3.137.60,login_failed,failed,High failed login attempts (16); Failed operation
2026-01-26 00:25:26,webadmin,192.168.1.101,admin_access,success,Access during unusual hours (night); High privilege access; Sensitive action: admin_access
2026-01-21 13:44:26,user2,10.0.0.50,data_transfer,success,"Large data transfer (82,070,778 bytes)"
2026-01-26 00:50:26,admin,10.0.0.51,data_transfer,success,"Large data transfer (17,433,980 bytes); Access during unusual hours (night)"
2026-01-21 22:49:26,webadmin,192.168.1.101,data_transfer,success,"Large data transfer (79,198,496 bytes)"
2026-01-27 19:31:26,webadmin,192.168.1.102,data_transfer,success,"Large data transfer (58,815,958 bytes)"
2026-01-25 19:21:26,user2,192.168.1.102,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-24 04:03:26,user1,192.168.1.102,privilege_escalation,success,Access during unusual hours (night); High privilege access; Sensitive action: privilege_escalation
2026-01-27 00:25:26,admin,10.0.0.51,admin_access,success,Access during unusual hours (night); High privilege access; Sensitive action: admin_access
2026-01-26 22:25:26,dbadmin,10.0.0.50,user_create,success,High privilege access
2026-01-23 18:30:26,user2,192.168.1.102,data_transfer,success,"Large data transfer (84,954,636 bytes)"
2026-01-21 08:13:26,webadmin,192.168.1.102,data_transfer,success,"Large data transfer (43,432,455 bytes)"
2026-01-23 20:38:26,admin,10.0.0.50,data_transfer,success,"Large data transfer (23,398,275 bytes)"
2026-01-24 04:57:26,user2,192.168.1.102,privilege_escalation,success,Access during unusual hours (night); High privilege access; Sensitive action: privilege_escalation
2026-01-23 18:04:26,unknown,214.104.151.192,login_failed,failed,High failed login attempts (7); Failed operation
2026-01-23 16:26:26,administrator,201.103.223.186,login_failed,failed,High failed login attempts (25); Failed operation
2026-01-27 02:25:26,admin,10.0.0.50,admin_access,success,Access during unusual hours (night); High privilege access; Sensitive action: admin_access
2026-01-23 12:20:26,user2,192.168.1.101,data_transfer,success,"Large data transfer (50,966,411 bytes)"
2026-01-24 03:21:26,user2,10.0.0.51,privilege_escalation,success,Access during unusual hours (night); High privilege access; Sensitive action: privilege_escalation
2026-01-21 22:58:26,dbadmin,192.168.1.101,data_transfer,success,"Large data transfer (43,872,374 bytes)"
2026-01-27 22:09:26,user1,192.168.1.100,data_transfer,success,"Large data transfer (47,221,001 bytes)"
2026-01-24 21:55:26,user2,192.168.1.102,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-24 03:28:26,user2,192.168.1.102,privilege_escalation,success,Access during unusual hours (night); High privilege access; Sensitive action: privilege_escalation
2026-01-21 14:50:26,administrator,198.59.192.242,login_failed,failed,High failed login attempts (22); Failed operation
2026-01-27 00:25:26,user2,10.0.0.50,user_create,success,Access during unusual hours (night); High privilege access
2026-01-22 06:12:26,admin,192.168.1.101,data_transfer,success,"Large data transfer (45,569,506 bytes)"
2026-01-21 22:51:26,dbadmin,192.168.1.102,data_transfer,success,"Large data transfer (20,463,128 bytes)"
2026-01-21 16:41:26,administrator,148.192.104.10,login_failed,failed,High failed login attempts (23); Failed operation
2026-01-26 03:25:26,user1,10.0.0.51,admin_access,success,Access during unusual hours (night); High privilege access; Sensitive action: admin_access
2026-01-24 11:14:26,user2,192.168.1.102,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-26 03:25:26,webadmin,10.0.0.50,admin_access,success,Access during unusual hours (night); High privilege access; Sensitive action: admin_access
2026-01-23 15:29:26,root,191.234.182.170,login_failed,failed,High failed login attempts (25); Failed operation
2026-01-26 03:25:26,dbadmin,192.168.1.100,admin_access,success,Access during unusual hours (night); High privilege access; Sensitive action: admin_access
2026-01-27 18:31:26,admin,192.168.1.100,data_transfer,success,"Large data transfer (40,535,317 bytes)"
2026-01-26 08:58:26,dbadmin,192.168.1.102,data_transfer,success,"Large data transfer (31,857,908 bytes)"
2026-01-21 02:53:26,root,159.245.248.163,login_failed,failed,High failed login attempts (10); Access during unusual hours (night); Failed operation
2026-01-24 01:55:26,user2,192.168.1.101,privilege_escalation,success,Access during unusual hours (night); High privilege access; Sensitive action: privilege_escalation
2026-01-24 16:53:26,user2,10.0.0.51,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-24 17:17:26,user1,192.168.1.100,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-23 00:25:26,webadmin,10.0.0.50,admin_access,success,Access during unusual hours (night); High privilege access; Sensitive action: admin_access
2026-01-24 20:07:26,user1,192.168.1.102,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-27 17:48:26,root,183.22.40.101,login_failed,failed,Failed operation
2026-01-24 09:59:26,user2,10.0.0.51,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-21 01:16:26,user1,192.168.1.102,data_transfer,success,"Large data transfer (45,284,715 bytes); Access during unusual hours (night)"
2026-01-23 02:25:26,webadmin,10.0.0.51,user_create,success,Access during unusual hours (night); High privilege access
2026-01-20 23:25:26,user2,10.0.0.51,user_create,success,High privilege access
2026-01-23 21:31:26,administrator,173.151.197.94,login_failed,failed,High failed login attempts (10); Failed operation
2026-01-27 03:25:26,dbadmin,192.168.1.100,admin_access,success,Access during unusual hours (night); High privilege access; Sensitive action: admin_access
2026-01-23 01:25:26,dbadmin,192.168.1.102,admin_access,success,Access during unusual hours (night); High privilege access; Sensitive action: admin_access
2026-01-26 22:25:26,admin,192.168.1.102,config_change,success,High privilege access; Sensitive action: config_change
2026-01-23 14:39:26,unknown,159.201.231.45,login_failed,failed,High failed login attempts (6); Failed operation
2026-01-26 23:25:26,user1,10.0.0.50,user_create,success,High privilege access
2026-01-20 23:25:26,user1,192.168.1.100,config_change,success,High privilege access; Sensitive action: config_change
2026-01-26 02:50:26,user1,10.0.0.50,privilege_escalation,success,Access during unusual hours (night); High privilege access; Sensitive action: privilege_escalation
2026-01-26 03:25:26,webadmin,192.168.1.102,user_create,success,Access during unusual hours (night); High privilege access
2026-01-26 20:41:26,user1,10.0.0.51,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-21 11:53:26,unknown,133.160.214.248,login_failed,failed,High failed login attempts (10); Failed operation
2026-01-21 03:25:26,webadmin,192.168.1.102,admin_access,success,Access during unusual hours (night); High privilege access; Sensitive action: admin_access
2026-01-20 23:25:26,dbadmin,192.168.1.100,config_change,success,High privilege access; Sensitive action: config_change
2026-01-27 03:25:26,user1,10.0.0.51,admin_access,success,Access during unusual hours (night); High privilege access; Sensitive action: admin_access
2026-01-26 19:27:26,user1,10.0.0.50,data_transfer,success,"Large data transfer (35,562,996 bytes)"
2026-01-23 03:25:26,dbadmin,10.0.0.50,admin_access,success,Access during unusual hours (night); High privilege access; Sensitive action: admin_access
2026-01-22 03:25:26,admin,10.0.0.50,user_create,success,Access during unusual hours (night); High privilege access
2026-01-22 14:06:26,user2,10.0.0.50,data_transfer,success,"Large data transfer (64,062,018 bytes)"
2026-01-23 23:25:26,user1,10.0.0.51,config_change,success,High privilege access; Sensitive action: config_change
2026-01-22 01:25:26,dbadmin,10.0.0.51,user_create,success,Access during unusual hours (night); High privilege access
2026-01-27 22:18:26,user1,10.0.0.51,data_transfer,success,"Large data transfer (24,242,373 bytes)"
2026-01-26 10:38:26,webadmin,192.168.1.100,data_transfer,success,"Large data transfer (30,080,139 bytes)"
2026-01-22 01:25:26,dbadmin,192.168.1.101,admin_access,success,Access during unusual hours (night); High privilege access; Sensitive action: admin_access
2026-01-27 20:38:26,user2,10.0.0.50,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-23 02:25:26,user2,10.0.0.50,admin_access,success,Access during unusual hours (night); High privilege access; Sensitive action: admin_access
2026-01-27 20:39:26,webadmin,192.168.1.100,data_transfer,success,"Large data transfer (43,467,508 bytes)"
2026-01-22 23:25:26,admin,192.168.1.101,admin_access,success,High privilege access; Sensitive action: admin_access
2026-01-23 03:25:26,user2,192.168.1.100,admin_access,success,Access during unusual hours (night); High privilege access; Sensitive action: admin_access
2026-01-22 00:25:26,user1,192.168.1.102,user_create,success,Access during unusual hours (night); High privilege access
2026-01-27 21:52:26,user1,10.0.0.51,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-23 22:25:26,webadmin,192.168.1.101,config_change,success,High privilege access; Sensitive action: config_change
2026-01-21 14:11:26,user1,192.168.1.102,data_transfer,success,"Large data transfer (29,470,911 bytes)"
2026-01-27 17:27:26,user2,10.0.0.50,data_transfer,success,"Large data transfer (17,463,131 bytes)"
2026-01-21 22:25:26,user1,10.0.0.50,user_create,success,High privilege access
2026-01-27 20:36:26,user1,192.168.1.100,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-22 02:25:26,dbadmin,10.0.0.51,user_create,success,Access during unusual hours (night); High privilege access
2026-01-23 22:25:26,dbadmin,10.0.0.51,config_change,success,High privilege access; Sensitive action: config_change
2026-01-27 02:25:26,user1,192.168.1.102,config_change,success,Access during unusual hours (night); High privilege access; Sensitive action: config_change
2026-01-21 06:52:26,webadmin,192.168.1.102,data_transfer,success,"Large data transfer (18,288,515 bytes)"
2026-01-22 22:25:26,user2,192.168.1.101,user_create,success,High privilege access
2026-01-27 16:18:26,user1,192.168.1.102,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-20 23:35:26,admin,10.0.0.51,config_read,success,Statistical deviation from normal behavior
2026-01-22 22:25:26,user1,10.0.0.51,user_create,success,High privilege access
2026-01-26 11:11:26,user1,192.168.1.101,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-21 01:25:26,user1,192.168.1.102,user_create,success,Access during unusual hours (night); High privilege access
2026-01-23 21:35:26,user1,10.0.0.50,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-22 17:05:26,dbadmin,10.0.0.51,data_transfer,success,"Large data transfer (37,534,241 bytes)"
2026-01-23 20:31:26,user1,10.0.0.50,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-21 23:03:26,webadmin,192.168.1.100,data_transfer,success,"Large data transfer (10,573,881 bytes)"
2026-01-22 22:25:26,user1,192.168.1.100,config_change,success,High privilege access; Sensitive action: config_change
2026-01-22 18:42:26,user2,192.168.1.102,data_transfer,success,"Large data transfer (19,929,645 bytes)"
2026-01-21 01:25:26,user1,192.168.1.101,admin_access,success,Access during unusual hours (night); High privilege access; Sensitive action: admin_access
2026-01-21 07:33:26,user2,10.0.0.50,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-21 03:25:26,user1,10.0.0.51,config_change,success,Access during unusual hours (night); High privilege access; Sensitive action: config_change
2026-01-27 19:40:26,user2,192.168.1.100,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-21 18:16:26,user1,10.0.0.51,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-21 16:03:26,user2,192.168.1.100,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-22 23:23:26,user2,10.0.0.51,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-27 15:07:26,user1,192.168.1.101,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-23 01:00:26,webadmin,10.0.0.50,service_start,success,Access during unusual hours (night)
2026-01-21 05:05:26,admin,10.0.0.50,logout,success,Access during unusual hours (night)
2026-01-21 15:38:26,user2,192.168.1.100,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-22 05:47:26,user1,10.0.0.50,privilege_escalation,success,Access during unusual hours (night); High privilege access; Sensitive action: privilege_escalation
2026-01-23 00:40:26,webadmin,192.168.1.102,config_read,success,Access during unusual hours (night)
2026-01-21 02:56:26,user1,192.168.1.102,privilege_escalation,success,Access during unusual hours (night); High privilege access; Sensitive action: privilege_escalation
2026-01-23 01:30:26,webadmin,10.0.0.50,config_read,success,Access during unusual hours (night)
2026-01-21 23:00:26,admin,10.0.0.50,logout,success,Statistical deviation from normal behavior
2026-01-22 04:09:26,user1,192.168.1.102,privilege_escalation,success,Access during unusual hours (night); High privilege access; Sensitive action: privilege_escalation
2026-01-23 00:55:26,user1,10.0.0.51,service_start,success,Access during unusual hours (night)
2026-01-22 22:32:26,user2,10.0.0.51,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-22 08:47:26,user1,192.168.1.101,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-21 21:11:26,user2,10.0.0.50,privilege_escalation,success,High privilege access; Sensitive action: privilege_escalation
2026-01-23 00:25:26,admin,10.0.0.50,file_access,success,Access during unusual hours (night)
2026-01-23 00:15:26,user2,10.0.0.51,service_start,success,Access during unusual hours (night)
2026-01-22 01:35:26,webadmin,10.0.0.50,config_read,success,Access during unusual hours (night)
