timestamp,source_ip,attempts,failed_count,success_count,unique_users,failed_ratio,attempts_per_sec,label,confidence,prediction
2026-01-01 15:01:00,10.0.0.15,2,2,0,2,1.0,0.03333333333333333,1,0.92766494,1
2026-01-01 15:01:00,10.0.0.6,5,5,0,5,1.0,0.08333333333333333,1,0.9897143,1
2026-01-01 15:01:00,10.0.0.7,2,2,0,2,1.0,0.03333333333333333,1,0.92766494,1
2026-01-01 15:01:00,10.0.0.8,4,4,0,4,1.0,0.06666666666666667,1,0.9897143,1
2026-01-01 15:01:00,10.0.0.9,2,2,0,2,1.0,0.03333333333333333,1,0.92766494,1
2026-01-01 15:02:00,10.0.0.11,3,3,0,3,1.0,0.05,1,0.9897143,1
2026-01-01 15:02:00,10.0.0.12,6,6,0,6,1.0,0.1,1,0.9897143,1
2026-01-01 15:02:00,10.0.0.13,5,5,0,5,1.0,0.08333333333333333,1,0.9897143,1
2026-01-01 15:02:00,10.0.0.14,4,4,0,4,1.0,0.06666666666666667,1,0.9897143,1
2026-01-01 15:02:00,10.0.0.6,6,6,0,6,1.0,0.1,1,0.9897143,1
2026-01-01 15:02:00,10.0.0.7,3,3,0,3,1.0,0.05,1,0.9897143,1
2026-01-01 15:02:00,10.0.0.9,2,2,0,2,1.0,0.03333333333333333,1,0.92766494,1
2026-01-01 15:03:00,10.0.0.10,4,4,0,4,1.0,0.06666666666666667,1,0.9897143,1
2026-01-01 15:03:00,10.0.0.11,2,2,0,2,1.0,0.03333333333333333,1,0.92766494,1
2026-01-01 15:03:00,10.0.0.12,2,2,0,2,1.0,0.03333333333333333,1,0.92766494,1
2026-01-01 15:03:00,10.0.0.13,6,6,0,6,1.0,0.1,1,0.9897143,1
2026-01-01 15:03:00,10.0.0.14,3,3,0,3,1.0,0.05,1,0.9897143,1
2026-01-01 15:03:00,10.0.0.15,4,4,0,4,1.0,0.06666666666666667,1,0.9897143,1
2026-01-01 15:03:00,10.0.0.7,5,5,0,5,1.0,0.08333333333333333,1,0.9897143,1
2026-01-01 15:03:00,10.0.0.9,3,3,0,3,1.0,0.05,1,0.9897143,1
2026-01-01 15:04:00,10.0.0.10,3,3,0,3,1.0,0.05,1,0.9897143,1
2026-01-01 15:04:00,10.0.0.11,4,4,0,4,1.0,0.06666666666666667,1,0.9897143,1
2026-01-01 15:04:00,10.0.0.12,2,2,0,2,1.0,0.03333333333333333,1,0.92766494,1
2026-01-01 15:04:00,10.0.0.13,4,4,0,4,1.0,0.06666666666666667,1,0.9897143,1
2026-01-01 15:04:00,10.0.0.14,5,5,0,5,1.0,0.08333333333333333,1,0.9897143,1
2026-01-01 15:04:00,10.0.0.15,3,3,0,3,1.0,0.05,1,0.9897143,1
2026-01-01 15:04:00,10.0.0.6,3,3,0,3,1.0,0.05,1,0.9897143,1
2026-01-01 15:04:00,10.0.0.8,3,3,0,3,1.0,0.05,1,0.9897143,1
2026-01-01 15:04:00,10.0.0.9,2,2,0,2,1.0,0.03333333333333333,1,0.92766494,1
2026-01-01 15:05:00,10.0.0.11,2,2,0,2,1.0,0.03333333333333333,1,0.92766494,1
2026-01-01 15:05:00,10.0.0.12,4,4,0,4,1.0,0.06666666666666667,1,0.9897143,1
2026-01-01 15:05:00,10.0.0.13,3,3,0,3,1.0,0.05,1,0.9897143,1
2026-01-01 15:05:00,10.0.0.14,2,2,0,2,1.0,0.03333333333333333,1,0.92766494,1
2026-01-01 15:05:00,10.0.0.15,3,3,0,3,1.0,0.05,1,0.9897143,1
2026-01-01 15:05:00,10.0.0.6,2,2,0,2,1.0,0.03333333333333333,1,0.92766494,1
2026-01-01 15:05:00,10.0.0.7,5,5,0,5,1.0,0.08333333333333333,1,0.9897143,1
2026-01-01 15:05:00,10.0.0.8,4,4,0,4,1.0,0.06666666666666667,1,0.9897143,1
2026-01-01 15:05:00,10.0.0.9,4,4,0,4,1.0,0.06666666666666667,1,0.9897143,1
2026-01-01 15:06:00,10.0.0.11,2,2,0,2,1.0,0.03333333333333333,1,0.92766494,1
2026-01-01 15:06:00,10.0.0.12,7,7,0,7,1.0,0.11666666666666667,1,0.9897143,1
2026-01-01 15:06:00,10.0.0.13,4,4,0,4,1.0,0.06666666666666667,1,0.9897143,1
2026-01-01 15:06:00,10.0.0.14,2,2,0,2,1.0,0.03333333333333333,1,0.92766494,1
2026-01-01 15:06:00,10.0.0.15,2,2,0,2,1.0,0.03333333333333333,1,0.92766494,1
2026-01-01 15:06:00,10.0.0.6,3,3,0,3,1.0,0.05,1,0.9897143,1
2026-01-01 15:06:00,10.0.0.7,3,3,0,3,1.0,0.05,1,0.9897143,1
2026-01-01 15:06:00,10.0.0.8,5,5,0,5,1.0,0.08333333333333333,1,0.9897143,1
2026-01-01 15:07:00,10.0.0.10,3,3,0,3,1.0,0.05,1,0.9897143,1
2026-01-01 15:07:00,10.0.0.11,5,5,0,5,1.0,0.08333333333333333,1,0.9897143,1
2026-01-01 15:07:00,10.0.0.13,4,4,0,4,1.0,0.06666666666666667,1,0.9897143,1
2026-01-01 15:07:00,10.0.0.14,3,3,0,3,1.0,0.05,1,0.9897143,1
2026-01-01 15:07:00,10.0.0.15,2,2,0,2,1.0,0.03333333333333333,1,0.92766494,1
2026-01-01 15:07:00,10.0.0.6,2,2,0,2,1.0,0.03333333333333333,1,0.92766494,1
2026-01-01 15:07:00,10.0.0.7,3,3,0,3,1.0,0.05,1,0.9897143,1
2026-01-01 15:07:00,10.0.0.8,2,2,0,2,1.0,0.03333333333333333,1,0.92766494,1
2026-01-01 15:07:00,10.0.0.9,5,5,0,5,1.0,0.08333333333333333,1,0.9897143,1
2026-01-01 15:08:00,10.0.0.10,4,4,0,4,1.0,0.06666666666666667,1,0.9897143,1
2026-01-01 15:08:00,10.0.0.11,5,5,0,5,1.0,0.08333333333333333,1,0.9897143,1
2026-01-01 15:08:00,10.0.0.12,3,3,0,3,1.0,0.05,1,0.9897143,1
2026-01-01 15:08:00,10.0.0.13,2,2,0,2,1.0,0.03333333333333333,1,0.92766494,1
2026-01-01 15:08:00,10.0.0.14,3,3,0,3,1.0,0.05,1,0.9897143,1
2026-01-01 15:08:00,10.0.0.15,4,4,0,4,1.0,0.06666666666666667,1,0.9897143,1
2026-01-01 15:08:00,10.0.0.6,2,2,0,2,1.0,0.03333333333333333,1,0.92766494,1
2026-01-01 15:08:00,10.0.0.7,3,3,0,3,1.0,0.05,1,0.9897143,1
2026-01-01 15:08:00,10.0.0.8,2,2,0,2,1.0,0.03333333333333333,1,0.92766494,1
2026-01-01 15:08:00,10.0.0.9,2,2,0,2,1.0,0.03333333333333333,1,0.92766494,1
2026-01-01 15:09:00,10.0.0.10,3,3,0,3,1.0,0.05,1,0.9897143,1
2026-01-01 15:09:00,10.0.0.11,3,3,0,3,1.0,0.05,1,0.9897143,1
2026-01-01 15:09:00,10.0.0.12,6,6,0,6,1.0,0.1,1,0.9897143,1
2026-01-01 15:09:00,10.0.0.13,4,4,0,4,1.0,0.06666666666666667,1,0.9897143,1
2026-01-01 15:09:00,10.0.0.15,3,3,0,3,1.0,0.05,1,0.9897143,1
2026-01-01 15:09:00,10.0.0.6,3,3,0,3,1.0,0.05,1,0.9897143,1
2026-01-01 15:09:00,10.0.0.8,5,5,0,5,1.0,0.08333333333333333,1,0.9897143,1
2026-01-01 16:00:00,10.0.0.1,120,120,0,1,1.0,2.0,1,0.991568,1
2026-01-01 16:01:00,10.0.0.1,80,80,0,1,1.0,1.3333333333333333,1,0.991568,1
2026-01-01 20:00:00,1.2.3.4,50,49,1,1,0.98,0.8333333333333334,1,0.991568,1
2026-01-01 21:00:00,10.0.0.4,120,120,0,1,1.0,2.0,1,0.991568,1
2026-01-01 21:01:00,10.0.0.4,80,80,0,1,1.0,1.3333333333333333,1,0.991568,1
